winery,wine_name,year,price,score,country,wine_type,pairing,picture,price_quality,Estilo de vino,Contenido de alcohol,country_España,country_Francia,country_Italia,country_Other,flavour_cítrico,flavour_especias,flavour_floral,flavour_fruta negra,flavour_fruta seca,flavour_frutos de árbol,flavour_frutos rojos,flavour_microbio,flavour_roble,flavour_terroso,flavour_tropical,flavour_vegetal
La Rioja Alta,Viña Ardanza Reserva,2017,25.9,4.3,España,2,"Ternera, Cordero, Ternera lechal, Aves",//images.vivino.com/thumbs/WLyWx1cvSGe7KcPsIlFtig_pb_x600.png,5,Rioja Tinto (España),13.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Rupert & Rothschild,Baron Edmond,2019,39.2,4.3,Sudáfrica,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/m1mCVnBaSjO-86BX4lNA6A_pb_x600.png,4,Sudáfrica Bordeaux Blend,14.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Achaval-Ferrer,Quimera,2019,44.27,4.3,Argentina,2,"Ternera, Cordero, Aves, Pasta",//images.vivino.com/thumbs/26sj5n28SWKkpfFB-73yAw_pb_x600.png,4,Argentina Bordeaux Blend,14.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Antídoto,La Hormiga de Antídoto,2022,26.97,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/Y56WzLz3QE6Py7QXwy2h4A_pb_x600.png,5,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bodegas Vilano,Terra Incognita,2020,25.0,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/nqcIbBnjQ8Sqw6y_Qf4Ofg_pb_x600.png,5,Ribera del Duero Tinto (España),14.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Finca Rodma,Avizor,2020,33.0,4.3,España,2,"Ternera, Cordero, Ciervo, Carne de venado",//images.vivino.com/thumbs/wkU7b7bGQ6ORMCcW8eGHGg_pb_x600.png,4,Ribera del Duero Tinto (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Alonso & Pedrajo,Suañé Blanco Reserva,2019,27.0,4.3,España,1,"Marisco, Aperitivos y tentempiés, Pescado blanco, Carne adobada",//images.vivino.com/thumbs/_Db-4HNVTSG-kIDOU_gn8w_pb_x600.png,4,Rioja Blanco (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Château Maillet,Pomerol,2021,42.0,4.3,Francia,2,"Ternera, Cordero, Aves, Ciervo, Carne de venado",//images.vivino.com/thumbs/cUhGmYIUSia-1xIATA1NAg_pb_x600.png,5,Burdeos Pomerol (Francia),13.91,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Pago de Los Capellanes,O Luar do Sil Vides de Córgomo,2021,38.9,4.3,España,1,"Marisco, Aves, Pescado azul, Pescado blanco",//images.vivino.com/thumbs/VzY8S9doT66-Tq6AZG2UUA_pb_x600.png,5,Spanish Galicia Godello White,13.5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chivite,Navarra Coleccion 125 Blanco,2021,59.9,4.3,España,1,"Cerdo, Vegetariana, Aves, Pescado azul",//images.vivino.com/thumbs/SijgV3QaQdmZgdqRu2C8oA_pb_x600.png,6,Chardonnay (España),14.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
